Company,LTP (₹),Market Cap (Cr),Volume,Links,Ticker
GRM Overseas Ltd.,217.64,"1,306","4,60,374",https://www.etmoney.com/stocks/grm-overseas-ltd/956,GRMOVER
Atul Auto Ltd.,468.45,"1,300","40,772",https://www.etmoney.com/stocks/atul-auto-ltd/1480,ATULAUTO
Sri Adhikari Brothers Television Network Ltd.,511.25,"1,297",940,https://www.etmoney.com/stocks/sri-adhikari-brothers-television-network-ltd/3712,SABTNL
Capital Small Finance Bank Ltd.,286.60,"1,297","19,309",https://www.etmoney.com/stocks/capital-small-finance-bank-ltd/4550,CAPITALSFB
Gala Precision Engineering Ltd.,"1,023.05","1,296","1,11,119",https://www.etmoney.com/stocks/gala-precision-engineering-ltd/4873,GALAPREC
Suryoday Small Finance Bank Ltd.,121.89,"1,296","1,18,948",https://www.etmoney.com/stocks/suryoday-small-finance-bank-ltd/228,SURYODAY
Allied Digital Services Ltd.,230.00,"1,293","5,05,858",https://www.etmoney.com/stocks/allied-digital-services-ltd/2082,ADSL
GPT Infraprojects Ltd.,101.72,"1,285","98,385",https://www.etmoney.com/stocks/gpt-infraprojects-ltd/767,GPTINFRA
Reliance Industrial InfraStructure Ltd.,847.20,"1,279","94,503",https://www.etmoney.com/stocks/reliance-industrial-infrastructure-ltd/872,RIIL
GTPL Hathway Ltd.,113.73,"1,279","5,37,782",https://www.etmoney.com/stocks/gtpl-hathway-ltd/1076,GTPL
